"All relevant data are within the paper and its Supporting Information files.",18,PLoS ONE
"All relevant data are within the paper.",4,PLoS ONE
"All relevant data are within the paper and its Supporting Information files.",2,PLoS Pathogens
"The availability of the data and material section concerning the case report is related to all the diagnostic examinations that the patients have submitted during their hospitalization. The publication of all these data has been authorized by the Institutional Review Board of the Cathay General Hospital.",1,World Journal of Surgical Oncology
"All relevant data are within the paper and its Supporting Information files. All RNA-seq files are available from the NCBI GEO database (accession number: GSE83479).",1,PLoS ONE
"The data used in this meta-analysis are extracted from previously published papers and their references are available within the paper.",1,PLoS ONE
"Individual data of the Swiss Health Survey are property of the Swiss Federal Statistical Office (SFSO) and may only be made available by SFSO. Requests for access have to be submitted to Mr. Marco D'Angelo (head of division, MarcoDAngelo@bfs.admin.ch). For information contact sgb12@bfs.admin.ch.",1,PLoS ONE
"Data are from four sources. Data from three of these sources are within the paper and its Supporting Information files. Data from the Demographic and Health Surveys is publicly available with registration from http://www.dhsprogram.com/.",1,PLoS ONE
"The authors confirm that all data underlying the findings are fully available without restriction. The complete genome sequence of Arthrobacter bacteriophage ArV2 was deposited in the EMBL nucleotide sequence database under accession number KF692088.",1,PLoS ONE
"For researchers who meet the criteria for access to confidential data, the data are available through the University of Newcastle Human research ethics committee giving the reference number (Approval Number H-2013-0135). Requests for data access may be sent to human-ethics@newcastle.edu.au.",1,PLoS ONE
"All relevant data are within the paper and its Supporting Information files with the exception of identifiable data of patients.",1,PLoS ONE
"Due to the data protection policy of Kyoto University and due to the consent provided by participants of the study, data of the current study are not available in the paper, its supporting information files, or in a public repository. In order to request the data, readers can contact the corresponding author, Masashi Taniguchi, or the Ethics Committee of Kyoto University (ethcom@kuhp.kyoto-u.ac.jp).",1,PLoS ONE
"The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within the paper.",1,PLoS ONE
"The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within the paper and its Supporting Information files.",1,PLoS ONE
"All files are available from the Dryad database (accession number:10.5061/dryad.fh8hs).",1,PLoS ONE
"The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within S1 Datafile.",1,PLoS ONE
"Requests by qualified researchers for analysis of the data can be directed to the corresponding author of this paper, where it will be duly considered for approval by the CARESS steering committee.",1,PLoS ONE
"The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within the Supporting Information files.",1,PLoS ONE
"DNA sequences are available from GenBank, and accession numbers are within the paper. All other data are within the paper.",1,PLoS ONE
"Raw data are available from the danish bee association at http://www.biavl.dk/ under the 'Honningmeter' label. Or www.mybees.buzz and www.stadev%c3%a6gt.dk/",1,PLoS ONE
"All sequences files are available from the NCBI database (accession number(s) SAMN 05361899/900/901/902/903/904/905/906).",1,PLoS ONE
"Participants were men who have sex with men, and the study questions included sensitive ones, such as sexual risk behaviors. Furthermore, during the consent process, the authors notified participants that their data would only be used for research purposes. For these reasons, data cannot be made publicly available. However, data will be made available to researchers upon request. Requests for the data, including the purpose of the study and the way that data will be used, etc. should be submitted to the Ethics Committee of the Chinese University of Hong Kong for approval. Readers may contact the first author (Jing Gu, gujing5@mail.sysu.edu.cn) or the corresponding author (Joseph Lau, jlau@cuhk.edu.hk) for information related to this study.",1,PLoS ONE
"All relevant data are available from Dryad Digital Repository (doi:10.5061/dryad.8mm58).",1,PLoS ONE
