product_title,folder_name,issn_electronic,start_year,end_year,publisher_name,das_required,das_encouraged
Acta Epilepsia,,2524-4434,2019,0,BioMed Central,01-May-15,01-May-15
Acta Neuropathologica Communications,Acta_Neuropathol_Commun,2051-5960,2013,0,BioMed Central,01-May-15,01-May-15
Acta Veterinaria Scandinavica,Acta_Vet_Scand,1751-0147,2009,0,BioMed Central,01-May-15,01-May-15
Addiction Science & Clinical Practice,Addict_Sci_Clin_Pract,1940-0640,2011,0,BioMed Central,01-May-15,01-May-15
Advances in Integrative Omics and Applied Biotechnology,,2047-9174,0,2012,BioMed Central,01-May-15,01-May-15
Advances in Rheumatology,,2523-3106,2018,0,BioMed Central,01-May-15,01-May-15
Advances in Simulation,Adv_Simul_(Lond),2059-0628,2016,0,BioMed Central,01-May-15,01-May-15
Agriculture & Food Security,,2048-7010,2012,0,BioMed Central,01-May-15,01-Nov-11
AIDS Research and Therapy,AIDS_Res_Ther,1742-6405,2009,0,BioMed Central,01-May-15,01-May-15
Algorithms for Molecular Biology,Algorithms_Mol_Biol,1748-7188,2009,0,BioMed Central,01-May-15,01-May-15
"Allergy, Asthma & Clinical Immunology",Allergy_Asthma_Clin_Immunol,1710-1492,2009,0,BioMed Central,01-May-15,01-May-15
Alzheimer's Research & Therapy,Alzheimers_Res_Ther,1758-9193,2009,0,BioMed Central,01-May-15,01-May-15
Animal Biotelemetry,,2050-3385,2013,0,BioMed Central,01-May-15,01-May-15
Animal Microbiome,,2524-4671,2018,0,BioMed Central,01-May-15,01-May-15
Annals of Clinical Microbiology and Antimicrobials,Ann_Clin_Microbiol_Antimicrob,1476-0711,2009,0,BioMed Central,01-May-15,01-Nov-11
Annals of General Psychiatry,Ann_Gen_Psychiatry,1744-859X,2009,0,BioMed Central,01-May-15,01-May-15
Annals of Occupational and Environmental Medicine,Ann_Occup_Environ_Med,2052-4374,2013,0,BioMed Central,01-May-15,01-May-15
Annals of Surgical Innovation and Research,Ann_Surg_Innov_Res,1750-1164,2009,2016,BioMed Central,01-May-15,01-May-15
Antimicrobial Resistance & Infection Control,Antimicrob_Resist_Infect_Control,2047-2994,2012,0,BioMed Central,01-May-15,01-May-15
Applied Cancer Research,,1980-5578,2016,0,BioMed Central,01-May-15,01-May-15
Aquatic Biosystems,Aquat_Biosyst,2046-9063,2012,2015,BioMed Central,01-May-15,01-May-15
Archives of Physiotherapy,Arch_Physiother,2057-0082,2015,0,BioMed Central,01-May-15,01-May-15
Archives of Public Health,Arch_Public_Health,2049-3258,2011,0,BioMed Central,01-May-15,01-May-15
Arthritis Research & Therapy,Arthritis_Res_Ther,1478-6362,2009,0,BioMed Central,01-May-15,01-May-15
Arthroplasty,,2524-7948,2019,0,BioMed Central,01-May-15,01-May-15
Asia Pacific Family Medicine,Asia_Pac_Fam_Med,1447-056X,2009,2018,BioMed Central,01-May-15,01-May-15
Asthma Research and Practice,Asthma_Res_Pract,2054-7064,2015,0,BioMed Central,01-May-15,01-May-15
Australia and New Zealand Health Policy,Aust_New_Zealand_Health_Policy,1743-8462,2009,2009,BioMed Central,01-May-15,01-May-15
Automated Experimentation,,1759-4499,2009,2012,BioMed Central,01-May-15,01-May-15
Avian Research,,2053-7166,2014,0,BioMed Central,01-May-15,01-May-15
Basic and Clinical Andrology,Basic_Clin_Androl,2051-4190,2013,0,BioMed Central,01-May-15,01-May-15
Behavioral and Brain Functions,Behav_Brain_Funct,1744-9081,2009,0,BioMed Central,01-May-15,01-May-15
Beilstein Journal of Organic Chemistry,Beilstein_J_Org_Chem,1860-5397,2005,2008,BioMed Central,01-May-15,01-May-15
Big Data Analytics,,2058-6345,2015,0,BioMed Central,01-May-15,01-May-15
BioData Mining,BioData_Min,1756-0381,2009,0,BioMed Central,01-May-15,01-May-15
Bioelectronic Medicine,,2332-8886,2018,0,BioMed Central,01-May-15,01-May-15
Biological Procedures Online,Biol_Proced_Online,1480-9222,2009,0,BioMed Central,01-May-15,01-May-15
Biological Research,Biol_Res,0717-6287,2014,0,BioMed Central,01-May-15,01-Nov-13
Biology Direct,Biol_Direct,1745-6150,2009,0,BioMed Central,01-May-15,01-May-15
Biology of Mood & Anxiety Disorders,Biol_Mood_Anxiety_Disord,2045-5380,2011,2015,BioMed Central,01-May-15,01-May-15
Biology of Sex Differences,Biol_Sex_Differ,2042-6410,2009,0,BioMed Central,01-May-15,01-May-15
BioMagnetic Research and Technology,Biomagn_Res_Technol,1477-044X,2003,2008,BioMed Central,01-May-15,01-May-15
Biomarker Research,Biomark_Res,2050-7771,2013,0,BioMed Central,01-May-15,01-May-15
Biomaterials Research,Biomater_Res,2055-7124,2014,0,BioMed Central,01-May-15,01-May-15
Biomedical Dermatology,,2398-8460,2017,0,BioMed Central,01-May-15,01-May-15
Biomedical Digital Libraries,Biomed_Digit_Libr,1742-5581,2004,2007,BioMed Central,01-May-15,01-May-15
BioMedical Engineering OnLine,Biomed_Eng_Online,1475-925X,2009,0,BioMed Central,01-May-15,01-May-15
BioPsychoSocial Medicine,Biopsychosoc_Med,1751-0759,2009,0,BioMed Central,01-May-15,01-May-15
Biotechnology for Biofuels,Biotechnol_Biofuels,1754-6834,2009,0,BioMed Central,01-May-15,01-May-15
BMC Anesthesiology,BMC_Anesthesiol,1471-2253,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Biochemistry,BMC_Biochem,1471-2091,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Bioinformatics,BMC_Bioinformatics,1471-2105,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Biology,BMC_Biol,1741-7007,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Biomedical Engineering,,2524-4426,2019,0,BioMed Central,01-May-15,01-Oct-12
