"j_lower","das_class","N","has_das","das_encouraged","das_required"
"acta neuropathologica communications",0,489,9,0,264
"acta neuropathologica communications",1,70,70,0,70
"acta neuropathologica communications",2,53,53,0,48
"acta neuropathologica communications",3,21,21,0,18
"acta veterinaria scandinavica",0,923,5,0,167
"acta veterinaria scandinavica",1,116,116,0,114
"acta veterinaria scandinavica",2,19,19,0,19
"acta veterinaria scandinavica",3,3,3,0,3
"addiction science & clinical practice",0,183,8,0,79
"addiction science & clinical practice",1,34,34,0,34
"addiction science & clinical practice",2,1,1,0,1
"addiction science & clinical practice",3,1,1,0,1
"advances in simulation",0,36,13,0,36
"advances in simulation",1,31,31,0,31
"advances in simulation",2,4,4,0,4
"advances in simulation",3,2,2,0,2
"aids research and therapy",0,364,1,0,53
"aids research and therapy",1,59,59,0,58
"aids research and therapy",2,4,4,0,4
"aids research and therapy",3,5,5,0,5
"algorithms for molecular biology",0,300,6,0,60
"algorithms for molecular biology",1,7,7,0,6
"algorithms for molecular biology",2,4,4,0,4
"algorithms for molecular biology",3,17,17,0,17
"allergy, asthma, and clinical immunology : official journal of the canadian society of allergy and clinical immunology",0,349,17,0,72
"allergy, asthma, and clinical immunology : official journal of the canadian society of allergy and clinical immunology",1,83,83,0,83
"allergy, asthma, and clinical immunology : official journal of the canadian society of allergy and clinical immunology",2,20,20,0,19
"allergy, asthma, and clinical immunology : official journal of the canadian society of allergy and clinical immunology",3,3,3,0,3
"alzheimer's research & therapy",0,277,24,0,106
"alzheimer's research & therapy",1,168,168,0,168
"alzheimer's research & therapy",2,11,11,0,11
"alzheimer's research & therapy",3,10,10,0,10
"annals of clinical microbiology and antimicrobials",0,444,10,136,81
"annals of clinical microbiology and antimicrobials",1,54,54,2,52
"annals of clinical microbiology and antimicrobials",2,54,54,10,44
"annals of clinical microbiology and antimicrobials",3,10,10,0,10
"annals of general psychiatry",0,453,7,0,74
"annals of general psychiatry",1,63,63,0,63
"annals of general psychiatry",2,10,10,0,10
"annals of general psychiatry",3,3,3,0,3
"annals of occupational and environmental medicine",0,182,24,0,95
"annals of occupational and environmental medicine",1,68,68,0,68
"annals of occupational and environmental medicine",2,15,15,0,15
