pmid;pmcid;doi;publisher_id;journal;journal_domain;journal_field;journal_subfield;n_authors;is_plos;is_bmc;title;n_references_tot;n_references;has_das;das_encouraged;das_required;das;p_year;p_month;has_month;n_cit_2;n_cit_3;n_cit_5;n_cit_tot;h_index_min;h_index_max;h_index_mean;h_index_median
27450394;4957301;10.1186/s12957-016-0944-z;944;World Journal of Surgical Oncology;Health Sciences;Clinical Medicine;Oncology & Carcinogenesis;2;False;True;Complete remission of pancreatic head desmoid tumor treated by COX-2 inhibitor—a case report;18;15;True;True;True;The availability of the data and material section concerning the case report is related to all the diagnostic examinations that the patients have submitted during their hospitalization. The publication of all these data has been authorized by the Institutional Review Board of the Cathay General Hospital.;2016;7;True;0;0;0;0;0;0;0.000;0.000
18946506;2567031;10.1371/journal.pone.0003497;08-PONE-RA-05967;PLoS ONE;General;General Science & Technology;General Science & Technology;8;True;False;Adherent Monomer-Misfolded SOD1;28;27;False;False;False;;2008;7;True;0;0;0;0;0;0;0.000;0.000
24278356;3838364;10.1371/journal.pone.0080968;PONE-D-13-16531;PLoS ONE;General;General Science & Technology;General Science & Technology;12;True;False;A New Freshwater Biodiversity Indicator Based on Fish Community Assemblages;72;23;False;False;False;;2013;7;True;0;0;0;0;0;0;0.000;0.000
21092276;2999619;10.1186/1471-2407-10-639;1471-2407-10-639;BMC Cancer;Health Sciences;Clinical Medicine;Oncology & Carcinogenesis;8;False;True;Validation of cytoplasmic-to-nuclear ratio of survivin as an indicator of improved prognosis in breast cancer;31;30;False;False;False;;2010;7;True;0;0;0;0;0;0;0.000;0.000
28481957;5421800;10.1371/journal.pone.0177334;PONE-D-17-00738;PLoS ONE;General;General Science & Technology;General Science & Technology;10;True;False;Deletion of Shp2 in bronchial epithelial cells impairs IL-25 production in vitro, but has minor influence on asthmatic inflammation in vivo;43;40;True;True;True;All relevant data are within the paper and its Supporting Information files.;2017;5;True;0;0;0;0;0;0;0.000;0.000
28241883;5330007;10.1186/s13049-017-0368-y;368;Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine;;;;6;False;True;The number of displaced rib fractures is more predictive for complications in chest trauma patients;22;22;True;True;True;Please contact authors for data requests.;2017;2;True;0;0;0;0;0;0;0.000;0.000
27575485;5004859;10.1371/journal.pone.0160078;PONE-D-16-13776;PLoS ONE;General;General Science & Technology;General Science & Technology;4;True;False;The Molecular Mechanisms of the Antibacterial Effect of Picosecond Laser Generated Silver Nanoparticles and Their Toxicity to Human Cells;51;36;True;True;True;All relevant data are within the paper.;2016;7;True;0;0;0;0;0;0;0.000;0.000
25012075;4227090;10.1186/1471-2334-14-383;1471-2334-14-383;BMC Infectious Diseases;Health Sciences;Biomedical Research;Microbiology;8;False;True;Agreement between QuantiFERON®-TB Gold In-Tube and the tuberculin skin test and predictors of positive test results in Warao Amerindian pediatric tuberculosis contacts;61;55;False;True;False;;2014;7;True;0;0;0;0;0;0;0.000;0.000
26864019;4750183;10.1186/s12889-016-2763-0;2763;BMC Public Health;Health Sciences;Public Health & Health Services;Public Health;5;False;True;Variations in schools’ commitment to health and implementation of health improvement activities: a cross-sectional study of secondary schools in Wales;35;26;False;True;True;;2016;2;True;0;0;0;0;0;0;0.000;0.000
23244740;3563543;10.1186/2046-1682-5-22;2046-1682-5-22;BMC Biophysics;;;;3;False;True;Stochastic dynamics of virus capsid formation: direct versus hierarchical self-assembly;43;43;False;False;False;;2012;7;True;0;0;0;0;0;0;0.000;0.000
